Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
11/12/2018, 12:00:00 PM;20.1;11/12/2018, 12:00:00 PM;0;11/12/2018, 12:00:00 PM;2.62;11/12/2018, 12:00:00 PM;1.14
11/13/2018, 12:00:00 PM;20.44;11/13/2018, 12:00:00 PM;0;11/13/2018, 12:00:00 PM;1.66;11/13/2018, 12:00:00 PM;1.82
11/14/2018, 12:00:00 PM;19.28;11/14/2018, 12:00:00 PM;0;11/14/2018, 12:00:00 PM;3.2;11/14/2018, 12:00:00 PM;1.4
11/15/2018, 12:00:00 PM;16.64;11/15/2018, 12:00:00 PM;0;11/15/2018, 12:00:00 PM;2.56;11/15/2018, 12:00:00 PM;4.66
11/16/2018, 12:00:00 PM;18.54;11/16/2018, 12:00:00 PM;0;11/16/2018, 12:00:00 PM;5.3;11/16/2018, 12:00:00 PM;0
11/17/2018, 12:00:00 PM;18.4;11/17/2018, 12:00:00 PM;0;11/17/2018, 12:00:00 PM;4.58;11/17/2018, 12:00:00 PM;0.86
11/18/2018, 12:00:00 PM;13.94;11/18/2018, 12:00:00 PM;0;11/18/2018, 12:00:00 PM;6.12;11/18/2018, 12:00:00 PM;3.7
11/19/2018, 12:00:00 PM;16.537;11/19/2018, 12:00:00 PM;0;11/19/2018, 12:00:00 PM;7.421;11/19/2018, 12:00:00 PM;0
11/20/2018, 12:00:00 PM;14.86;11/20/2018, 12:00:00 PM;0;11/20/2018, 12:00:00 PM;7.8;11/20/2018, 12:00:00 PM;1.1
11/21/2018, 12:00:00 PM;12.94;11/21/2018, 12:00:00 PM;0;11/21/2018, 12:00:00 PM;8.1;11/21/2018, 12:00:00 PM;2.7
11/22/2018, 12:00:00 PM;12.02;11/22/2018, 12:00:00 PM;0;11/22/2018, 12:00:00 PM;7.24;11/22/2018, 12:00:00 PM;4.44
11/23/2018, 12:00:00 PM;16.18;11/23/2018, 12:00:00 PM;0;11/23/2018, 12:00:00 PM;9.02;11/23/2018, 12:00:00 PM;0.56
11/24/2018, 12:00:00 PM;12.12;11/24/2018, 12:00:00 PM;0;11/24/2018, 12:00:00 PM;7.9;11/24/2018, 12:00:00 PM;3.7
11/25/2018, 12:00:00 PM;15.2;11/25/2018, 12:00:00 PM;0;11/25/2018, 12:00:00 PM;7.92;11/25/2018, 12:00:00 PM;0.64
11/26/2018, 12:00:00 PM;16.62;11/26/2018, 12:00:00 PM;0;11/26/2018, 12:00:00 PM;5.3;11/26/2018, 12:00:00 PM;1.86
11/27/2018, 12:00:00 PM;13.72;11/27/2018, 12:00:00 PM;0;11/27/2018, 12:00:00 PM;7.64;11/27/2018, 12:00:00 PM;2.38
11/28/2018, 12:00:00 PM;12.16;11/28/2018, 12:00:00 PM;0;11/28/2018, 12:00:00 PM;7.26;11/28/2018, 12:00:00 PM;4.34
11/29/2018, 12:00:00 PM;21;11/29/2018, 12:00:00 PM;0;11/29/2018, 12:00:00 PM;4.4;11/29/2018, 12:00:00 PM;0.44
11/30/2018, 12:00:00 PM;18.88;11/30/2018, 12:00:00 PM;0;11/30/2018, 12:00:00 PM;3.42;11/30/2018, 12:00:00 PM;1.58
