Date Time;Expansion valve;Date Time;Current consumption C1
10/12/2018, 4:00:00 AM;202;10/12/2018, 4:00:00 AM;6.2
10/13/2018, 2:00:00 AM;279;10/13/2018, 2:00:00 AM;5.6
10/13/2018, 4:00:00 PM;416;10/13/2018, 4:00:00 PM;4.7
10/13/2018, 6:00:00 PM;207;10/13/2018, 6:00:00 PM;5.9
10/15/2018, 2:00:00 AM;304;10/15/2018, 2:00:00 AM;5.3
10/15/2018, 4:00:00 AM;195;10/15/2018, 4:00:00 AM;6.4
10/16/2018, 1:59:00 AM;439;10/16/2018, 1:59:00 AM;4.1
10/16/2018, 4:00:00 AM;291;10/16/2018, 4:00:00 AM;5.6
10/17/2018, 2:00:00 AM;297;10/17/2018, 2:00:00 AM;5.4
10/17/2018, 4:00:00 AM;188;10/17/2018, 4:00:00 AM;6.4
10/18/2018, 1:59:00 AM;460;10/18/2018, 1:59:00 AM;3.8
10/18/2018, 4:00:00 AM;335;10/18/2018, 4:00:00 AM;5.3
10/18/2018, 8:00:00 PM;441;10/18/2018, 8:00:00 PM;3.8
10/18/2018, 10:00:00 PM;329;10/18/2018, 10:00:00 PM;5.1
10/19/2018, 8:00:00 PM;453;10/19/2018, 8:00:00 PM;4
10/19/2018, 10:00:00 PM;289;10/19/2018, 10:00:00 PM;5.5
10/21/2018, 2:01:00 AM;367;10/21/2018, 2:01:00 AM;4.6
10/21/2018, 4:00:00 AM;224;10/21/2018, 4:00:00 AM;6
10/21/2018, 8:00:00 AM;307;10/21/2018, 8:00:00 AM;3.9
10/22/2018, 2:00:00 AM;258;10/22/2018, 2:00:00 AM;5.6
10/23/2018, 2:00:00 AM;266;10/23/2018, 2:00:00 AM;5.6
10/24/2018, 2:00:00 AM;416;10/24/2018, 2:00:00 AM;4.1
10/24/2018, 4:00:00 AM;282;10/24/2018, 4:00:00 AM;5.5
10/25/2018, 2:00:00 AM;352;10/25/2018, 2:00:00 AM;4.7
10/25/2018, 4:00:00 AM;211;10/25/2018, 4:00:00 AM;6.1
10/25/2018, 8:00:00 AM;326;10/25/2018, 8:00:00 AM;3.7
10/25/2018, 10:00:00 AM;306;10/25/2018, 10:00:00 AM;3.9
10/26/2018, 2:00:00 AM;266;10/26/2018, 2:00:00 AM;5.5
10/26/2018, 4:00:00 AM;184;10/26/2018, 4:00:00 AM;6.5
10/26/2018, 6:00:00 AM;315;10/26/2018, 6:00:00 AM;3.8
10/26/2018, 8:00:00 AM;301;10/26/2018, 8:00:00 AM;4
10/26/2018, 12:00:00 PM;320;10/26/2018, 12:00:00 PM;5
10/27/2018, 4:00:00 PM;300;10/27/2018, 4:00:00 PM;4.2
10/27/2018, 11:00:00 PM;300;10/27/2018, 11:00:00 PM;3.9
10/28/2018, 1:00:00 AM;292;10/28/2018, 1:00:00 AM;4.5
10/28/2018, 2:00:00 AM;248;10/28/2018, 2:00:00 AM;4.8
10/28/2018, 4:00:00 AM;307;10/28/2018, 4:00:00 AM;3.6
10/28/2018, 6:00:00 AM;308;10/28/2018, 6:00:00 AM;3.9
10/28/2018, 12:00:00 PM;306;10/28/2018, 12:00:00 PM;4
10/28/2018, 10:00:00 PM;304;10/28/2018, 10:00:00 PM;3.8
10/29/2018, 12:00:00 AM;311;10/29/2018, 12:00:00 AM;3.8
10/29/2018, 2:00:00 AM;251;10/29/2018, 2:00:00 AM;5.1
10/29/2018, 4:00:00 AM;287;10/29/2018, 4:00:00 AM;3.8
10/29/2018, 6:00:00 AM;296;10/29/2018, 6:00:00 AM;3.8
10/29/2018, 8:00:00 AM;282;10/29/2018, 8:00:00 AM;3.9
10/29/2018, 10:00:00 AM;289;10/29/2018, 10:00:00 AM;3.8
10/29/2018, 12:00:00 PM;300;10/29/2018, 12:00:00 PM;3.8
10/29/2018, 2:00:00 PM;287;10/29/2018, 2:00:00 PM;3.9
10/29/2018, 4:00:00 PM;289;10/29/2018, 4:00:00 PM;3.8
10/29/2018, 10:00:00 PM;325;10/29/2018, 10:00:00 PM;3.8
10/30/2018, 12:00:00 AM;298;10/30/2018, 12:00:00 AM;3.8
10/30/2018, 2:00:00 AM;254;10/30/2018, 2:00:00 AM;4.7
10/30/2018, 4:00:00 AM;287;10/30/2018, 4:00:00 AM;3.7
10/30/2018, 6:00:00 AM;301;10/30/2018, 6:00:00 AM;3.8
10/30/2018, 8:00:00 AM;307;10/30/2018, 8:00:00 AM;3.8
10/30/2018, 10:00:00 AM;271;10/30/2018, 10:00:00 AM;4.5
10/30/2018, 12:00:00 PM;252;10/30/2018, 12:00:00 PM;4.6
10/30/2018, 6:00:00 PM;314;10/30/2018, 6:00:00 PM;3.7
10/30/2018, 8:00:00 PM;289;10/30/2018, 8:00:00 PM;3.7
10/30/2018, 10:00:00 PM;297;10/30/2018, 10:00:00 PM;3.7
10/31/2018, 12:00:00 AM;297;10/31/2018, 12:00:00 AM;3.8
10/31/2018, 2:00:00 AM;242;10/31/2018, 2:00:00 AM;4.8
10/31/2018, 4:00:00 AM;279;10/31/2018, 4:00:00 AM;3.9
10/31/2018, 6:00:00 AM;300;10/31/2018, 6:00:00 AM;3.8
10/31/2018, 8:00:00 AM;307;10/31/2018, 8:00:00 AM;3.7
10/31/2018, 10:00:00 AM;286;10/31/2018, 10:00:00 AM;3.8
10/31/2018, 6:00:00 PM;321;10/31/2018, 6:00:00 PM;3.5
10/31/2018, 8:00:00 PM;297;10/31/2018, 8:00:00 PM;5
11/1/2018, 4:00:00 AM;277;11/1/2018, 4:00:00 AM;4.6
11/1/2018, 10:00:00 AM;308;11/1/2018, 10:00:00 AM;3.9
11/2/2018, 12:00:00 AM;335;11/2/2018, 12:00:00 AM;3.8
11/2/2018, 2:00:00 AM;304;11/2/2018, 2:00:00 AM;5
11/2/2018, 4:00:00 AM;292;11/2/2018, 4:00:00 AM;3.8
11/2/2018, 10:00:00 AM;302;11/2/2018, 10:00:00 AM;4
11/2/2018, 10:00:00 PM;329;11/2/2018, 10:00:00 PM;3.8
11/3/2018, 12:00:00 AM;299;11/3/2018, 12:00:00 AM;3.8
11/3/2018, 2:00:00 AM;257;11/3/2018, 2:00:00 AM;4.7
11/3/2018, 4:00:00 AM;279;11/3/2018, 4:00:00 AM;3.9
11/3/2018, 6:00:00 AM;305;11/3/2018, 6:00:00 AM;3.8
11/3/2018, 8:00:00 AM;304;11/3/2018, 8:00:00 AM;3.8
11/3/2018, 10:00:00 AM;290;11/3/2018, 10:00:00 AM;3.7
11/3/2018, 8:00:00 PM;316;11/3/2018, 8:00:00 PM;3.8
11/3/2018, 10:00:00 PM;290;11/3/2018, 10:00:00 PM;3.9
11/4/2018, 12:00:00 AM;302;11/4/2018, 12:00:00 AM;3.9
11/4/2018, 2:00:00 AM;297;11/4/2018, 2:00:00 AM;4.6
11/4/2018, 4:00:00 AM;264;11/4/2018, 4:00:00 AM;4.4
11/4/2018, 6:00:00 AM;302;11/4/2018, 6:00:00 AM;3.8
11/4/2018, 8:00:00 AM;284;11/4/2018, 8:00:00 AM;3.9
11/4/2018, 10:00:00 AM;293;11/4/2018, 10:00:00 AM;4
11/5/2018, 10:00:00 PM;314;11/5/2018, 10:00:00 PM;3.6
11/6/2018, 12:00:00 AM;292;11/6/2018, 12:00:00 AM;3.8
11/6/2018, 2:00:00 AM;263;11/6/2018, 2:00:00 AM;4.9
11/6/2018, 4:00:00 AM;282;11/6/2018, 4:00:00 AM;3.7
11/6/2018, 6:00:00 AM;302;11/6/2018, 6:00:00 AM;3.7
11/6/2018, 6:00:00 PM;374;11/6/2018, 6:00:00 PM;3.5
11/6/2018, 8:00:00 PM;368;11/6/2018, 8:00:00 PM;4.6
11/6/2018, 10:00:00 PM;186;11/6/2018, 10:00:00 PM;6.2
11/7/2018, 6:00:00 AM;313;11/7/2018, 6:00:00 AM;3.9
11/8/2018, 12:00:00 AM;313;11/8/2018, 12:00:00 AM;3.9
11/8/2018, 2:00:00 AM;276;11/8/2018, 2:00:00 AM;5.1
11/8/2018, 4:00:00 AM;306;11/8/2018, 4:00:00 AM;3.8
11/8/2018, 6:00:00 AM;290;11/8/2018, 6:00:00 AM;3.9
11/8/2018, 10:00:00 AM;306;11/8/2018, 10:00:00 AM;3.9
11/9/2018, 2:00:00 AM;282;11/9/2018, 2:00:00 AM;4.9
11/9/2018, 4:00:00 AM;290;11/9/2018, 4:00:00 AM;3.9
11/9/2018, 2:00:00 PM;327;11/9/2018, 2:00:00 PM;3.8
11/9/2018, 4:00:00 PM;318;11/9/2018, 4:00:00 PM;4
11/9/2018, 10:00:00 PM;309;11/9/2018, 10:00:00 PM;3.6
11/10/2018, 12:00:00 AM;314;11/10/2018, 12:00:00 AM;3.8
11/10/2018, 2:00:00 AM;219;11/10/2018, 2:00:00 AM;5.8
11/10/2018, 4:00:00 AM;298;11/10/2018, 4:00:00 AM;4
11/11/2018, 12:00:00 AM;316;11/11/2018, 12:00:00 AM;3.8
11/11/2018, 2:00:00 AM;302;11/11/2018, 2:00:00 AM;4.8
11/11/2018, 4:00:00 AM;273;11/11/2018, 4:00:00 AM;4.3
11/11/2018, 6:00:00 AM;285;11/11/2018, 6:00:00 AM;3.9
11/11/2018, 8:00:00 PM;327;11/11/2018, 8:00:00 PM;3.8
11/12/2018, 12:00:00 AM;307;11/12/2018, 12:00:00 AM;3.9
11/12/2018, 2:00:00 AM;224;11/12/2018, 2:00:00 AM;5.4
11/12/2018, 4:00:00 AM;295;11/12/2018, 4:00:00 AM;3.9
11/12/2018, 6:00:00 AM;282;11/12/2018, 6:00:00 AM;3.9
11/12/2018, 12:00:00 PM;322;11/12/2018, 12:00:00 PM;3.8
11/12/2018, 2:00:00 PM;296;11/12/2018, 2:00:00 PM;3.9
11/12/2018, 4:00:00 PM;299;11/12/2018, 4:00:00 PM;3.8
11/12/2018, 6:00:00 PM;281;11/12/2018, 6:00:00 PM;3.9
11/13/2018, 2:00:00 AM;296;11/13/2018, 2:00:00 AM;5
11/13/2018, 4:00:00 AM;289;11/13/2018, 4:00:00 AM;3.7
11/13/2018, 6:00:00 AM;311;11/13/2018, 6:00:00 AM;3.7
11/13/2018, 8:00:00 AM;300;11/13/2018, 8:00:00 AM;3.8
11/14/2018, 2:00:00 AM;277;11/14/2018, 2:00:00 AM;5
11/14/2018, 4:00:00 AM;292;11/14/2018, 4:00:00 AM;3.9
11/14/2018, 6:00:00 AM;314;11/14/2018, 6:00:00 AM;3.8
11/14/2018, 8:00:00 AM;293;11/14/2018, 8:00:00 AM;3.8
11/14/2018, 2:00:00 PM;310;11/14/2018, 2:00:00 PM;4
11/15/2018, 12:00:00 AM;305;11/15/2018, 12:00:00 AM;3.8
11/15/2018, 2:00:00 AM;295;11/15/2018, 2:00:00 AM;4.7
11/15/2018, 4:00:00 AM;260;11/15/2018, 4:00:00 AM;4.4
11/15/2018, 8:00:00 AM;314;11/15/2018, 8:00:00 AM;3.8
11/15/2018, 6:00:00 PM;334;11/15/2018, 6:00:00 PM;3.7
11/15/2018, 8:00:00 PM;333;11/15/2018, 8:00:00 PM;4.8
11/15/2018, 10:00:00 PM;269;11/15/2018, 10:00:00 PM;4.4
11/16/2018, 12:00:00 AM;298;11/16/2018, 12:00:00 AM;3.6
11/16/2018, 2:00:00 AM;302;11/16/2018, 2:00:00 AM;3.7
11/16/2018, 4:00:00 AM;296;11/16/2018, 4:00:00 AM;3.9
11/16/2018, 8:00:00 AM;292;11/16/2018, 8:00:00 AM;3.8
11/16/2018, 10:00:00 AM;300;11/16/2018, 10:00:00 AM;3.8
11/16/2018, 8:00:00 PM;303;11/16/2018, 8:00:00 PM;3.8
11/16/2018, 10:00:00 PM;304;11/16/2018, 10:00:00 PM;3.9
11/17/2018, 12:00:00 AM;289;11/17/2018, 12:00:00 AM;3.9
11/17/2018, 2:00:00 AM;257;11/17/2018, 2:00:00 AM;4.7
11/17/2018, 4:00:00 AM;281;11/17/2018, 4:00:00 AM;3.9
11/17/2018, 6:00:00 AM;291;11/17/2018, 6:00:00 AM;3.8
11/17/2018, 8:00:00 AM;299;11/17/2018, 8:00:00 AM;3.7
11/17/2018, 10:00:00 AM;284;11/17/2018, 10:00:00 AM;3.7
11/17/2018, 10:00:00 PM;305;11/17/2018, 10:00:00 PM;3.7
11/18/2018, 12:00:00 AM;304;11/18/2018, 12:00:00 AM;3.8
11/18/2018, 2:00:00 AM;228;11/18/2018, 2:00:00 AM;5.2
11/18/2018, 4:00:00 AM;290;11/18/2018, 4:00:00 AM;3.8
11/18/2018, 6:00:00 AM;294;11/18/2018, 6:00:00 AM;3.8
11/18/2018, 10:00:00 AM;290;11/18/2018, 10:00:00 AM;3.8
11/18/2018, 12:00:00 PM;275;11/18/2018, 12:00:00 PM;4
11/18/2018, 6:01:00 PM;363;11/18/2018, 6:01:00 PM;4.3
11/18/2018, 8:00:00 PM;242;11/18/2018, 8:00:00 PM;4.8
11/18/2018, 9:59:00 PM;283;11/18/2018, 9:59:00 PM;3.8
11/19/2018, 12:01:00 AM;301;11/19/2018, 12:01:00 AM;3.8
