Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
9/17/2018, 2:00:00 AM;56.2;11/4/2018, 8:00:00 AM;27.9;9/17/2018, 2:00:00 AM;42.7;11/4/2018, 8:00:00 AM;3.7;9/17/2018, 2:00:00 AM;6.1;;;;
9/17/2018, 4:00:00 AM;79.6;11/4/2018, 10:00:00 AM;27.2;9/17/2018, 4:00:00 AM;57;11/4/2018, 10:00:00 AM;4;9/17/2018, 4:00:00 AM;6.6;;;;
9/18/2018, 2:00:00 AM;54.4;11/5/2018, 10:00:00 PM;25.8;9/18/2018, 2:00:00 AM;41.1;11/5/2018, 10:00:00 PM;4.8;9/18/2018, 2:00:00 AM;6;;;;
9/18/2018, 4:00:00 AM;78.1;11/6/2018, 12:00:00 AM;27.2;9/18/2018, 4:00:00 AM;56.3;11/6/2018, 12:00:00 AM;4.2;9/18/2018, 4:00:00 AM;6.6;;;;
9/19/2018, 2:00:00 AM;56.5;11/6/2018, 2:00:00 AM;26.2;9/19/2018, 2:00:00 AM;43;11/6/2018, 2:00:00 AM;4.2;9/19/2018, 2:00:00 AM;6.4;;;;
9/19/2018, 4:00:00 AM;79.5;11/6/2018, 4:00:00 AM;28;9/19/2018, 4:00:00 AM;57.2;11/6/2018, 4:00:00 AM;3.5;9/19/2018, 4:00:00 AM;6.9;;;;
9/20/2018, 2:00:00 AM;50.2;11/6/2018, 6:00:00 AM;28.1;9/20/2018, 2:00:00 AM;37.2;11/6/2018, 6:00:00 AM;4.4;9/20/2018, 2:00:00 AM;5.8;;;;
9/20/2018, 4:00:00 AM;74.6;11/7/2018, 6:00:00 AM;27.8;9/20/2018, 4:00:00 AM;54;11/7/2018, 6:00:00 AM;4.9;9/20/2018, 4:00:00 AM;6.6;;;;
9/21/2018, 2:00:00 AM;56.2;11/8/2018, 12:00:00 AM;27;9/21/2018, 2:00:00 AM;42.7;11/8/2018, 12:00:00 AM;4.8;9/21/2018, 2:00:00 AM;6.4;;;;
9/21/2018, 4:00:00 AM;79.2;11/8/2018, 4:00:00 AM;25.4;9/21/2018, 4:00:00 AM;57.2;11/8/2018, 4:00:00 AM;5.3;9/21/2018, 4:00:00 AM;6.9;;;;
